"date","new_cases","mm7_casos"
"2020-04-04","1304","922.29"
"2020-04-05","770","982.00"
"2020-04-06","1031","1083.14"
"2020-04-07","1873","1188.14"
"2020-04-08","2136","1333.43"
"2020-04-09","1922","1435.43"
"2020-04-10","1546","1511.71"
"2020-04-11","1089","1481.00"
"2020-04-12","1465","1580.29"
"2020-04-13","1238","1609.86"
"2020-04-14","1832","1604.00"
"2020-04-15","3058","1735.71"
"2020-04-16","2105","1761.86"
"2020-04-17","3257","2006.29"
"2020-04-18","2976","2275.86"
"2020-04-19","1996","2351.71"
"2020-04-20","2089","2473.29"
"2020-04-21","2336","2545.29"
"2020-04-22","2678","2491.00"
"2020-04-23","4279","2801.57"
"2020-04-24","4007","2908.71"
"2020-04-25","5281","3238.00"
"2020-04-26","3776","3492.29"
"2020-04-27","4346","3814.71"
"2020-04-28","5789","4308.00"
"2020-04-29","6450","4846.86"
"2020-04-30","7502","5307.29"
"2020-05-01","5015","5451.29"
"2020-05-02","4898","5396.57"
"2020-05-03","4726","5532.29"
"2020-05-04","6794","5882.00"
"2020-05-05","6835","6031.43"
"2020-05-06","11156","6703.71"
"2020-05-07","9162","6940.86"
"2020-05-08","11121","7813.14"
"2020-05-09","9167","8423.00"
"2020-05-10","6638","8696.14"
"2020-05-11","6895","8710.57"
"2020-05-12","8620","8965.57"
"2020-05-13","11923","9075.14"
"2020-05-14","13028","9627.43"
"2020-05-15","17126","10485.29"
"2020-05-16","13220","11064.29"
"2020-05-17","7569","11197.29"
"2020-05-18","14288","12253.43"
"2020-05-19","16517","13381.57"
"2020-05-20","19694","14491.71"
"2020-05-21","18508","15274.57"
"2020-05-22","20803","15799.86"
"2020-05-23","16508","16269.57"
"2020-05-24","15813","17447.29"
"2020-05-25","11687","17075.71"
"2020-05-26","16324","17048.14"
"2020-05-27","20599","17177.43"
"2020-05-28","26417","18307.29"
"2020-05-29","26928","19182.29"
"2020-05-30","33274","21577.43"
"2020-05-31","16409","21662.57"
"2020-06-01","11598","21649.86"
"2020-06-02","28936","23451.57"
"2020-06-03","28633","24599.29"
"2020-06-04","30925","25243.29"
"2020-06-05","30830","25800.71"
"2020-06-06","27075","24915.14"
"2020-06-07","18912","25272.71"
"2020-06-08","15654","25852.14"
"2020-06-09","32091","26302.86"
"2020-06-10","32913","26914.29"
"2020-06-11","30412","26841.00"
"2020-06-12","25982","26148.43"
"2020-06-13","21704","25381.14"
"2020-06-14","17110","25123.71"
"2020-06-15","20647","25837.00"
"2020-06-16","34918","26240.86"
"2020-06-17","32188","26137.29"
"2020-06-18","22765","25044.86"
"2020-06-19","54771","29157.57"
"2020-06-20","34666","31009.29"
"2020-06-21","15762","30816.71"
"2020-06-22","23129","31171.29"
"2020-06-23","39436","31816.71"
"2020-06-24","42725","33322.00"
"2020-06-25","39483","35710.29"
"2020-06-26","46860","34580.14"
"2020-06-27","38693","35155.43"
"2020-06-28","30476","37257.43"
"2020-06-29","24052","37389.29"
"2020-06-30","33846","36590.71"
"2020-07-01","46712","37160.29"
"2020-07-02","48105","38392.00"
"2020-07-03","42223","37729.57"
"2020-07-04","37923","37619.57"
"2020-07-05","26051","36987.43"
"2020-07-06","20229","36441.29"
"2020-07-07","45305","38078.29"
"2020-07-08","44571","37772.43"
"2020-07-09","42619","36988.71"
"2020-07-10","45048","37392.29"
"2020-07-11","39023","37549.43"
"2020-07-12","24831","37375.14"
"2020-07-13","20286","37383.29"
"2020-07-14","41857","36890.71"
"2020-07-15","39924","36226.86"
"2020-07-16","45403","36624.57"
"2020-07-17","34177","35071.57"
"2020-07-18","28532","33572.86"
"2020-07-19","23529","33386.86"
"2020-07-20","20257","33382.71"
"2020-07-21","41008","33261.43"
"2020-07-22","67860","37252.29"
"2020-07-23","59961","39332.00"
"2020-07-24","55891","42434.00"
"2020-07-25","51147","45664.71"
"2020-07-26","24578","45814.57"
"2020-07-27","23284","46247.00"
